
name(It's a Trap!)

snap(20,-10,-20)
sky(121, 141, 252)
fog(227,166,147)
set(73,-46700,16550,180)
set(73,-46125,8200,-90)
set(73,-46800,3650,90)
set(73,-50500,1475,180)
set(73,-52575,6750,-90)
set(73,-42500,725,180)
set(74,2075,-6150,-90)
set(74,-1525,-2050,90)
set(74,3075,375,180)
set(74,-1975,13750,180)
set(74,-6475,15400,-90)
set(74,-5375,7150,90)
set(74,3575,17275,180)
set(74,-6025,21875,0)
set(74,3450,23100,90)
set(74,-1900,29300,-90)
set(74,-5875,32125,0)
set(74,5550,32750,180)
set(74,-2125,40850,-90)
set(74,-1975,47075,0)
set(74,-8425,51125,180)
set(74,-12625,42850,90)
set(74,-17725,47100,180)
set(74,-18400,50725,0)
set(74,-19750,42800,90)
set(74,-26800,42725,180)
set(74,-34575,50750,-90)
set(74,-50000,46600,-90)
set(74,-45825,46175,0)
set(74,-46925,39800,90)
set(74,-46975,25600,180)
set(74,-41125,22275,-90)
set(74,-42725,9650,90)
set(74,-46800,13725,180)
set(74,-49700,9400,-90)
set(74,-51325,13400,0)
set(74,-52375,775,90)
set(74,-52850,20125,180)
set(74,-52150,48900,-90)
set(74,-43100,-5375,0)
set(74,-42500,29490,180)
set(74,-42230,23790,-90)
set(75,2875,-2650,90)
set(75,-2150,700,180)
set(75,-5400,3850,-90)
set(75,-1325,6050,0)
set(75,-5725,5850,90)
set(75,2125,11625,180)
set(75,-1325,12800,-90)
set(75,2200,22450,-90)
set(75,-5025,31500,180)
set(75,-6725,25625,0)
set(75,-10600,31550,90)
set(75,-14375,42325,180)
set(75,-10625,41525,-90)
set(75,-25400,42925,90)
set(75,-31225,47050,-90)
set(75,-52250,46975,0)
set(75,-46400,39200,180)
set(75,-50300,34900,-90)
set(75,-42625,26775,0)
set(75,-46725,24300,90)
set(75,-46700,27750,180)
set(75,-52625,28800,-90)
set(75,-46725,-1975,90)
set(75,-42150,-2850,180)
set(75,-42725,2900,-90)
set(75,-41575,8500,0)
set(75,-42225,31425,90)
set(75,-38525,37050,180)
set(75,-36925,42000,-90)
set(73,-10226,27490,180)
set(73,-12316,16818,0)
set(73,-12092,6759,90)
set(74,-12223,35252,0)
set(74,-8401,31808,90)
set(74,-13446,24512,-90)
set(74,-12984,21026,0)
set(74,-11093,17883,90)
set(74,-13004,8528,180)
set(74,-15356,6932,-90)
set(74,-17960,10460,0)
set(74,-17834,22472,90)
set(74,-14222,17684,180)
set(74,-24372,286,-90)
set(74,-23826,4948,0)
set(74,-28698,4906,90)
set(74,-38208,24116,180)
set(74,-40980,18782,0)
set(74,-32076,24914,90)
set(74,-24390,26174,180)
set(74,-33042,24830,-90)
set(74,-39972,10886,90)
set(75,-36318,15590,180)
set(75,-31740,22184,-90)
set(75,-36780,29030,0)
set(75,-23924,6378,90)
set(75,-30644,7344,180)
set(75,-32282,-1770,-90)
set(75,-17036,-1182,0)
set(75,-15296,12150,90)
set(75,-17396,22902,180)
set(75,-29870,24666,-90)
set(75,-29900,39352,0)
set(75,-18812,31162,90)
set(75,-16975,2400,0)
set(74,-17925,650,90)
set(73,-16000,900,180)
set(73,-18515,5990,-90)
set(73,-33824,10544,0)
set(73,-35708,34568,90)
set(73,-18752,36892,180)
set(73,-14504,27668,-90)
set(73,-18316,15648,0)
set(73,-27144,-4452,90)
set(74,-32712,-4004,180)
set(74,-36680,8132,90)
set(74,-30212,19012,180)
set(74,-30128,33368,0)
set(73,-1924,-164,90)
set(74,-1732,6960,0)
set(75,-1716,13024,0)
set(74,2540,12000,-90)
set(74,1996,12544,90)
set(75,3084,17992,90)
set(74,-1652,23264,-90)
set(74,2972,23552,180)
set(75,2988,22560,180)
set(75,2492,29020,0)
set(75,-1396,28892,90)
set(75,2972,38324,180)
set(74,2492,37972,90)
set(75,-2820,46872,-90)
set(74,-5112,51356,90)
set(75,-5816,51148,0)
set(74,-13192,51308,-90)
set(74,-9124,46556,-90)
set(75,-7172,46268,90)
set(73,-17148,46908,180)
set(73,-20800,46972,90)
set(75,-29632,50796,180)
set(74,-32188,46924,90)
set(73,-45564,46652,90)
set(74,-44476,46924,0)
set(75,-46460,43096,90)
set(73,-46860,38504,-90)
set(74,-50124,35644,180)
set(74,-46236,29192,-90)
set(74,-50124,26700,90)
set(75,-51960,7256,0)
set(73,-46408,-2448,0)
set(73,-42080,-4992,90)
set(74,-42536,-4448,0)
set(74,-42024,1920,-90)
set(73,-42296,8936,0)
set(74,-40264,8840,90)
set(74,-40200,18808,-90)
set(74,-40488,18072,0)
set(74,-41624,24156,0)
set(74,-37944,24784,-90)
set(74,-41992,29572,0)
set(73,-38584,38088,0)
set(74,-40328,42920,90)
set(74,-36208,41848,180)
set(74,-34204,41964,-90)
set(75,-20916,41920,0)
set(73,-13040,42096,-90)
set(73,-12320,41504,0)
set(74,-9616,41552,0)
set(74,-6688,37164,-90)
set(73,-7756,36916,90)
set(74,-6780,31388,180)
set(75,-6556,26144,-90)
set(73,-8716,25064,-90)
set(73,-7276,15820,90)
set(74,-7596,14676,0)
set(73,-6124,6700,90)
set(74,-6860,-2044,0)
set(73,-7932,-2260,180)
set(75,2180,-8,0)

maxr(13,7000,-6000)
maxt(13,54000,-53000)
maxl(13,-55400,-6000)
maxb(13,-8400,-53000)






