
name(Rolling Dark)

snap(-25,-5,15)
sky(109,137,252)
fog(117,223,255)
set(18,-55970,-26800,0)
chk(40,-55970,-28600,0)
set(19,-55970,-31350,90)pt
set(18,-51420,-31350,90)p
set(18,-45820,-31350,-90)p
set(18,-40220,-31350,-90)p

bnd(0,0,0,1)
set(36,-40220,-29600,0)
set(18,-34620,-31350,90)
bnd(0,0,1,0)
set(36,-38260,-29600,0)ph
fix(41,-35700,-30100,-700,90)
 
set(18,-29020,-31350,90)p
set(22,-25660,-31350,-90)p
set(10,-22300,-31350,90)p
set(10,-16700,-31350,90)p
set(30,-10591,-31350,-90)
set(26,-7350,-31350,90)p
set(10,-4550,-31350,90)p
set(14,0,-31350,180)pt
set(10,0,-26800,0)p
set(10,0,-22400,0)p
chk(40,0,-20600,0)
set(10,0,-16800,180)p
set(10,0,-11200,180)
set(26,0,-11200,0)pr
set(26,0,-10000,180)
set(10,0,-5600,0)p




bnd(0,1,0,0)
set(49,-64588,18905,0)
bnd(0,1,0,0)
set(49,-63188,18905,180)
bnd(1,1,0,0)
set(49,-63188,16105,180)
bnd(1,1,0,0)
set(49,-64588,16105,0)
bnd(1,1,0,0)
set(49,-64588,13305,0)
bnd(1,1,0,0)
set(49,-63188,13305,180)
bnd(1,1,0,0)
set(49,-63188,10505,180)
bnd(1,1,0,0)
set(49,-64588,10505,0)
bnd(1,1,0,0)
set(49,-64588,7705,0)
bnd(1,1,0,0)
set(49,-63188,7705,180)
bnd(1,0,0,0)
set(49,-63188,4905,180)
bnd(1,0,0,0)
set(49,-64588,4905,0)



set(65,-5865,-25840,-90)
set(65,1890,-5360,0)
set(65,-3180,29740,90)
set(65,-64568,32140,0)
set(65,-60934,16246,90)
set(65,-70272,-14710,0)
set(65,-61450,-20396,90)
set(65,-53428,-25442,180)
set(65,-49774,-12870,-90)
set(65,-46900,-1870,0)
set(65,-26686,2100,90)
set(65,-30674,-35100,180)
set(66,2582,-15052,-90)
set(66,-2358,-2862,0)
set(66,-3324,6672,90)
set(66,3134,25756,180)
set(66,-14788,29966,-90)
set(66,-38278,30986,0)
set(66,-48900,32974,90)
set(66,-66710,22106,180)
set(66,-66500,8828,-90)
set(66,-74276,-7230,90)
set(66,-49174,-7084,180)
set(66,-41486,-3550,-90)
set(66,-40632,8104,0)
set(66,-34044,-14368,180)
set(66,-59648,6188,-90)
set(66,-49416,-34340,0)
set(66,-44586,-25856,90)
set(66,-22500,-28528,180)
set(66,-5836,-33736,-90)
set(66,2184,-28192,0)
set(67,2298,-15621,90)
set(67,-2805,-6542,180)
set(67,-2058,3723,-90)
set(67,1701,14487,0)
set(67,-5166,25450,180)
set(67,-10214,30118,0)
set(67,-23858,31277,90)
set(67,-56148,31517,180)
set(67,-61564,21496,-90)
set(67,-66596,14650,0)
set(67,-66911,2806,90)
set(67,-66533,-6572,180)
set(67,-72575,-18412,-90)
set(67,-59689,-12109,0)
set(67,-42904,-7258,90)
set(67,-42877,-63,180)
set(67,-43962,6083,-90)
set(66,-44445,6125,0)
set(66,-54715,9028,90)
set(67,-61099,-23185,180)
set(67,-60154,-33184,0)
set(67,-47378,-27968,90)
set(67,-30820,-28677,180)
set(67,-9126,-26262,-90)
set(68,-6639,30357,180)
set(68,-22546,26072,-90)
set(68,-53467,32101,0)
set(68,-69112,24835,90)
set(68,-57884,22454,180)
set(68,-65706,-5306,0)
set(68,-72325,-17100,90)
set(68,-59075,-16325,180)
set(68,-33575,5300,-90)
set(68,-50325,-2650,90)
set(68,-50606,-28664,-90)
set(68,-39514,-33714,0)
set(69,-3190,-9340,-90)
set(69,-30854,31036,90)
set(69,-41440,27330,180)
set(69,-58400,26610,-90)
set(69,-66620,15510,0)
set(69,-72516,-2992,90)
set(69,-52836,-7300,180)
set(69,-40300,-1300,-90)
set(69,-50825,6750,90)
set(69,-37000,-12175,180)
set(69,-14750,-29125,0)
set(69,2625,1775,0)
set(67,-29950,-34825,180)
set(65,-19200,-34375,0)
set(65,-73450,-25100,90)
set(66,-72425,-25125,-90)
set(67,-69525,-26125,0)
set(68,-76200,-23600,90)
set(69,-68475,-28925,180)
set(67,-66580,-25080,-90)
set(68,-28540,-1340,90)
set(69,-30360,-10320,180)
set(66,-32940,-11130,-90)
set(66,-27200,-4200,0)
set(65,-24410,-6780,90)
set(65,-8232,2924,180)
set(65,-17297,2625,0)
set(65,-37226,17102,180)
set(65,-40365,11168,-90)
set(65,-46987,22262,0)
set(65,-67752,20306,90)
set(65,-69129,2848,180)
set(65,-72715,10225,-90)
set(65,-74134,5452,0)
set(65,-72134,23581,90)
set(65,-52241,16178,0)
set(65,-44849,-19312,90)
set(65,-61077,-27080,180)
set(65,-74278,-30348,-90)
set(65,-68666,-34343,0)
set(65,-54049,-34343,90)
set(65,-28393,-20419,180)
set(65,-23663,-15861,-90)
set(65,-10830,-18285,0)
set(66,-6195,-23280,90)
set(66,-16950,-17025,180)
set(66,-18975,-12480,-90)
set(66,-7880,-3620,90)
set(66,-12980,-9830,180)
set(66,-28410,5170,-90)
set(66,-52910,24840,0)
set(66,-58544,2292,90)
set(66,-69340,4836,-90)
set(66,-77164,19380,0)
set(66,-75940,-4352,90)
set(66,-14168,27132,180)
set(66,-11384,19404,-90)
set(66,-14896,14912,90)
set(67,-11032,11832,180)
set(67,-14448,15472,-90)
set(67,-21552,15008,0)
set(67,-27208,21168,90)
set(67,-23708,-8532,180)
set(67,-10828,-3772,-90)
set(67,-16820,5636,0)
set(67,-25360,-28236,90)
set(67,-17464,-27004,180)
set(67,-5272,-14368,-90)
set(67,-45204,16420,0)
set(67,-71876,19500,90)
set(67,-74116,11212,180)
set(67,-62108,-16392,-90)
set(67,-60472,-35740,0)
set(67,-53640,-33892,90)
set(68,-49740,19080,-90)
set(68,-43280,-20460,0)
set(68,-73400,18520,90)
set(69,-45880,-18500,-90)
set(69,-6500,-4500,0)
set(69,-48840,22620,90)
set(69,-61770,-15324,0)
set(69,-53310,-20985,-90)
set(65,8797,7658,90)
set(68,31364,7699,0)
set(66,35041,24692,0)
set(66,34713,21207,90)
set(68,27992,29535,180)
set(69,5463,29658,0)
set(69,26985,29248,0)
set(65,22082,35109,90)
set(65,37844,28967,180)
set(66,-9875,34811,0)
set(65,-23574,26153,-90)
set(68,-23648,35126,90)
set(65,9070,12705,180)
set(69,32103,13482,180)
set(69,33886,20142,-90)
set(69,9989,23300,0)
set(69,10581,22486,90)
set(69,2728,22116,180)
set(69,19826,-4723,-90)
set(68,18605,-3909,0)
set(67,14831,-7461,90)
set(66,14165,-4908,180)
set(68,1574,8974,90)
set(68,38652,16702,0)
set(68,-60404,15248,-90)
set(65,-59722,1586,180)
set(66,-60140,-6436,180)
set(66,-60250,-7052,0)
set(68,-25974,-28668,-90)
set(69,-24548,-28254,-90)
set(68,-9996,-24068,180)
set(69,-20300,-15158,180)
set(65,-3860,-19482,0)
set(69,-25264,-224,90)
set(66,-38880,9044,90)
set(65,-11579,15557,-90)
set(65,-75200,11720,90)
set(65,-71976,18632,-90)
set(68,-12250,-33875,180)
set(67,30875,6950,90)
set(66,34675,7300,180)
set(65,31650,1975,-90)

maxl(16,-79464,-36073)
maxb(25,-38473,-77064)
maxr(16,40536,-36073)
maxt(25,38327,-77064)




