
name(Flight of the Barking Lunatics)

snap(-15,25,25)
sky(137,226,255)
fog(188,193,169)
set(72,-24556,37646,90)
set(72,-56890,24464,180)
set(72,-49750,35748,-90)
set(72,-32765,11660,0)
set(72,4790,15650,180)
set(72,17720,14740,-90)
set(72,30960,-5015,0)
set(72,-4975,-13225,180)
set(72,2585,-23955,0)
set(72,-3750,330,90)
set(71,13730,-3385,180)
set(70,15900,-1390,-90)
set(71,5490,-3350,90)
set(65,3175,5425,90)
set(65,2725,26325,-90)
set(65,-15725,29125,0)
set(65,-58200,22112,90)
set(65,12964,20384,180)
set(65,22940,7200,-90)
set(65,6500,-12724,90)
set(65,-12116,-4040,180)
set(65,-13684,-34908,-90)
set(65,5056,-33624,0)
set(66,-4564,980,90)
set(66,-36952,36368,-90)
set(66,-41884,12024,0)
set(66,-10904,23164,90)
set(66,8436,-12656,-90)
set(66,-4492,-26096,90)
set(66,5852,14748,180)
set(66,6804,22392,-90)
set(67,6120,23996,0)
set(67,-9764,34860,90)
set(67,-37952,36792,180)
set(67,-47364,14452,-90)
set(67,30764,13176,0)
set(67,20768,-10356,90)
set(67,7628,-13112,180)
set(65,-5480,11972,180)
set(72,15328,-3210,90)
set(70,-13847,-13706,-90)
set(66,-14175,-20200,0)
set(67,-14263,-14286,-90)
set(72,-14928,-35641,-90)
set(71,1660,33390,0)

maxl(19,-60165,-42043)
maxb(25,-44443,-57765)
maxr(19,59834,-42043)
maxt(25,46756,-57765)
