snap(0,0,0)
sky(255,0,255)
ground(255,128,0)
polys(0,0,255)
texture(0,0,255,0)
set(31,-7000,-36000,-23000,180)
set(23,-7000,11500,250,180)
set(23,-7000,28200,250,0)
set(10,-7000,31000,250,0)
set(10,-7000,32000,250,0)p
chk(40,-7000,34000,250,0)
set(14,-7000,36000,250,-90)
set(14,-10000,36000,250,0)pt
set(10,-10000,32000,250,0)p
set(37,-10000,30000,250,900)
set(45,-10000,27000,250,180)pr
set(10,-10000,27000,250,0)p
set(37,-10000,25000,250,900)
set(10,-10000,22000,250,0)p
set(28,-10000,20000,250,0)
set(37,-10000,20000,250,900)
set(10,-10000,17000,250,0)p
set(37,-10000,15000,250,900)
set(10,-10000,12000,250,0)p
set(37,-10000,10000,250,900)
set(10,-10000,7000,250,0)p
set(37,-10000,5000,250,900)
set(10,-10000,2000,250,0)p
set(37,-10000,0,250,900)
set(10,-10000,-2000,250,0)p
set(37,-10000,-5000,250,900)
set(10,-10000,-7000,250,0)p
set(29,-10000,-10000,250,900)
set(10,-10000,-12000,250,0)p
set(10,-10000,-17000,250,0)p
set(10,-10000,-22000,250,0)p
set(38,-10000,-25500,250,0)
set(18,-10000,-29000,250,0)p
set(18,-10000,-34000,250,0)p
set(18,-10000,-39000,250,0)p
chk(40,-10500,-42500,250,-45)
set(19,-10000,-43000,250,180)
set(18,-14000,-43000,250,90)p
set(18,-19000,-43000,250,90)p
set(18,-24000,-43000,250,90)p
set(18,-29000,-43000,250,90)p
set(18,-34000,-43000,250,90)p
set(22,-37350,-43000,250,90)p

set(40,-38500,-42500,250,45)p
chk(40,-38500,-42500,250,45)
set(14,-39000,-43000,250,90)
set(10,-39000,-39000,250,0)p
set(10,-39000,-34000,250,0)p
set(31,-39000,-34000,250,0)pr
set(10,-39000,-30000,250,0)p
set(38,-38500,-26000,250,-45)
set(14,-39000,-25500,250,0)
set(22,-37350,-25500,250,90)p
set(18,-34000,-25500,250,90)p
set(18,-29000,-25500,250,90)p
set(18,-24000,-25500,250,90)p
set(18,-19000,-25500,250,90)p
set(18,-14000,-25500,250,90)p
set(18,-14000,-25500,250,90)p
set(18,-10000,-25500,250,90)p
set(38,-10000,-25500,250,90)
set(18,-4500,-25500,250,90)p
set(38,-500,-25000,250,-45)
set(19,0,-25500,250,180)
set(18,0,-21500,250,0)p
set(22,0,-18250,250,0)p
set(10,0,-15000,250,0)p
set(10,0,-11300,250,0)p
set(10,0,-6200,250,0)p
set(29,0,-4000,250,0)
set(29,0,-4000,250,180)




set(23,-39000,-24800,-4250,0)
set(10,-39000,-22000,-4250,0)
set(10,-39000,-17000,-4250,0)
set(14,-39000,-13000,-4250,0)
set(10,-35000,-13000,-4250,90)
set(10,-30000,-13000,-4250,90)
set(10,-25000,-13000,-4250,90)
set(26,-20000,-13000,-4250,-90)
set(10,-20000,-13000,-4250,90)
set(10,-18000,-13000,-4250,90)

set(23,-12000,-13000,-4250,-90)
set(26,-10000,-13000,-4250,90)
set(10,-10000,-13000,-4250,90)
set(10,-5000,-13000,-4250,90)
set(22,0,-13000,-15000,0)
set(22,0,-13000,-14750,0)
set(22,0,-13000,-14500,0)
set(22,0,-13000,-14250,0)
set(22,0,-13000,-14000,0)
set(22,0,-13000,-13750,0)
set(22,0,-13000,-13500,0)
set(22,0,-13000,-13250,0)
set(22,0,-13000,-13000,0)
set(22,0,-13000,-12750,0)
set(22,0,-13000,-12500,0)
set(22,0,-13000,-12250,0)
set(22,0,-13000,-12000,0)
set(22,0,-13000,-11750,0)
set(22,0,-13000,-11500,0)
set(22,0,-13000,-11250,0)
set(22,0,-13000,-11000,0)
set(22,0,-13000,-10750,0)
set(22,0,-13000,-10500,0)
set(22,0,-13000,-10250,0)
set(22,0,-13000,-10000,0)
set(22,0,-13000,-9750,0)
set(22,0,-13000,-9500,0)
set(22,0,-13000,-9250,0)
set(22,0,-13000,-9000,0)
set(22,0,-13000,-8750,0)
set(22,0,-13000,-8500,0)
set(22,0,-13000,-8250,0)
set(22,0,-13000,-8000,0)
set(22,0,-13000,-7750,0)
set(22,0,-13000,-7500,0)
set(22,0,-13000,-7250,0)
set(22,0,-13000,-7000,0)
set(22,0,-13000,-6750,0)
set(22,0,-13000,-6500,0)
set(22,0,-13000,-6250,0)
set(22,0,-13000,-6000,0)
set(22,0,-13000,-5750,0)
set(22,0,-13000,-5500,0)
set(22,0,-13000,-5250,0)
set(22,0,-13000,-5000,0)
set(22,0,-13000,-4750,0)
set(22,0,-13000,-4500,0)
set(22,0,-13000,-4250,0)

set(10,0,-9650,-15000,0)
set(10,0,-5000,-15000,0)
set(10,0,0,-15000,0)
set(27,0,5000,-15000,0)
set(10,0,5000,-15000,0)
set(23,0,7000,-15000,180)

set(35,0,18500,-18000,0)
set(24,0,13250,-18000,180)
set(44,0,16000,-18000,180)
set(44,0,21000,-18000,0)
set(24,0,23750,-18000,0)

set(37,0,29000,-21000,0)
set(37,-1000,29000,-20000,0)
set(37,1000,29000,-20000,0)

set(23,0,29000,-20000,0)
set(14,0,30500,-20000,-90)
set(10,0,30500,-20000,0)
set(23,0,33000,-20000,180)
set(10,-3500,30500,-20000,-90)
set(14,-7000,30500,-20000,0)
set(10,-7000,30500,-20000,0)
set(20,-7000,25500,-20000,0)
set(44,-7000,20500,-20000,0)
set(43,-7000,15500,-20000,0)
set(43,-7000,10500,-20000,0)
set(43,-7000,5500,-20000,0)
set(43,-7000,500,-20000,0)
set(44,-7000,-5000,-20000,180)
set(45,-7000,-38000,-23000,180)
set(45,-7000,-34000,-22500,180)
set(45,-7000,-30000,-22000,180)
set(45,-7000,-26000,-21500,180)
set(45,-7000,-22000,-21000,180)
set(45,-7000,-18000,-20500,180)
set(45,-7000,-14000,-20000,180)
set(20,-7000,-10000,-20000,180)
set(10,-7000,30500,-20000,0)
set(23,-7000,33000,-20000,180)

set(23,-7000,-45000,-25000,0)p
set(23,-7000,-45000,-25000,180)p
fix(41,-7000,-45000,-25000,0)
chk(40,-7000,-45000,-25000,0)
set(23,-7000,-45000,-25000,0)p
set(23,-7000,-45000,-25000,180)p

set(36,-1400,0,-15000,90)
set(36,1400,0,-15000,-90)
set(10,0,0,-15000,0)


set(23,-2200,-13000,-4250,90)


set(10,0,-2900,250,0)p

