snap(-75,-75,-75)
sky(300,300,300)
ground(0,0,0)
texture(1000,1000,1000,9999)
chk(40,105988,10302,-500,0)
set(10,105988,9302,-500,0)p
set(22,105988,10302,-250,0)
set(22,105988,10302,0,0)

//E
set(10,110688,11302,250,90)
chk(40,107488,9302,250,0)
set(10,107488,9302,250,0)p
set(37,107488,9302,250,0)

set(10,109488,6500,250,90)p
chk(40,111488,6500,250,90)
set(37,111488,6500,250,90)


set(10,107488,3702,250,0)p
set(10,107488,1962,250,0)p
chk(40,107488,1302,250,0)
set(37,107488,1302,250,0)
set(10,110688,0,250,90)p


//S
set(43,117688,0,250,90)p
chk(40,117688,0,250,90)
set(37,117688,0,250,90)
set(43,121000,3000,250,0)p
chk(40,121000,3000,250,0)
set(37,121000,3000,250,0)
set(43,117688,6000,250,90)p
chk(40,117688,6000,250,90)
set(37,117688,6000,250,90)
set(43,114376,9000,250,0)p
chk(40,114376,9000,250,0)
set(37,114376,9000,250,0)
set(43,117688,12000,250,90)p
chk(40,117688,12000,250,90)
set(37,117688,12000,250,90)

//S
set(43,126688,0,250,90)p
set(16,126688,0,250,90)p
chk(40,126688,0,250,90)
set(37,126688,0,250,90)
set(43,130000,3000,250,0)p
set(16,130000,3000,250,0)p
chk(40,130000,3000,250,0)
set(37,130000,3000,250,0)
set(43,126688,6000,250,90)p
set(16,126688,6000,250,90)p
chk(40,126688,6000,250,90)
set(37,126688,6000,250,90)
set(43,123376,9000,250,0)p
set(16,123376,9000,250,0)p
chk(40,123376,9000,250,0)
set(37,123376,9000,250,0)
set(43,126688,12000,250,90)p
set(16,126688,12000,250,90)p
chk(40,126688,12000,250,90)
set(37,126688,12000,250,90)

//!
set(58,135000,11200,250,0)
set(58,135000,5600,250,0)
set(24,135000,0,250,0)
set(24,135000,0,250,180)
set(63,135000,0,250,180)

set(58,135000,8400,250,0)p
chk(40,135000,8400,250,90)
set(58,135000,8400,250,0)p
